,amount,name,notes,recipe,units
0,,,,,
0,['3'],whole wheat flour,(atta),gobi paratha ,cups
1,['1'],water,or add more if required,gobi paratha ,cup
2,,salt as required,(optional),gobi paratha ,
3,['1'],ghee or oil, or add as required (optional),gobi paratha ,tablespoon
4,['½'],"of a cauliflower head,",finely grated,gobi paratha ,
5,['1'],"green chili,",chopped finely (hari mirch),gobi paratha ,
6,,garam masala powder as required,,gobi paratha ,
7,,red chili powder as required,(lal mirch powder),gobi paratha ,
8,,salt to taste,,gobi paratha ,
9,,ghee as required,(clarified butter),gobi paratha ,
0,['1'],cinnamon,(dalchini),veg sagu ,inch
1,['2'],green cardamoms,(choti elaichi),veg sagu ,
2,['2 to 3'],cloves,(lavang),veg sagu ,
3,['2'],marathi moggu,(kapok buds),veg sagu ,
4,['1'],coriander seeds,(sabut dhania),veg sagu ,tablespoon
5,['1'],cumin seed,(jeera),veg sagu ,teaspoon
6,['1'],roasted chana dal,(bhuna chana dal),veg sagu ,tablespoon
7,['3 to 4'],"small garlic cloves,",chopped (lahsun),veg sagu ,
8,['½'],"ginger,",chopped (adrak),veg sagu ,inch
9,['2'],"chopped coriander leaves,",for a more green color you can add 3 to 4 tablespoons chopped coriander leaves,veg sagu ,tablespoons
10,['¼'],grated coconut,,veg sagu ,cup
11,['1 or 2'],"green chilies,",for a spicy taste add 3 green chilies,veg sagu ,
12,['¼'],water,or as required for grinding,veg sagu ,cup
13,['2'],oil,,veg sagu ,tablespoons
14,['1'],mustard seeds,(rai),veg sagu ,teaspoon
15,['1'],split husked black gram,(urad dal),veg sagu ,teaspoon
16,['1'],spring curry leaves,or 8 to 10 curry leaves (kadi patta),veg sagu ,
17,['1'],asafoetida,hing,veg sagu ,pinch
18,['1 to 2'],dry red chillies,(sookhi lal mirch),veg sagu ,
19,['66'],onions,or 1 medium to large onion or ⅓ to ½ cup finely chopped onions,veg sagu ,grams
20,['1'],turmeric powder,(haldi),veg sagu ,pinch
21,['44'],tomatoes,or 1 small tomato or ¼ cup diced tomatoes,veg sagu ,grams
22,['1.5 to 2'],of mixed veggies,"like potatoes, carrots, french beans, cauliflower, green peas",veg sagu ,cups
23,['1.25'],water,to be added for cooking veggies,veg sagu ,cups
24,,salt as required,,veg sagu ,
25,['½ to ⅔'],water,to be added later,veg sagu ,cup
26,['1 to 2'],chopped coriander leaves,(dhania patta),veg sagu ,tablespoon
27,['10 to 12'],cashews,(kaju) sauteed in 1 to 2 teaspoons oil,veg sagu ,
0,['125'],shell shaped pasta or pasta rigatoni,(whole wheat or all purpose flour pasta),pasta salad ,grams
1,['1 or 2'],garlic cloves,(lahsun),pasta salad ,
2,['¼'],finely chopped onion,(optional),pasta salad ,cup
3,['1'],medium size tomato,(optional),pasta salad ,
4,['1'],small cucumber,(optional),pasta salad ,
5,['1'],extra virgin olive oil,,pasta salad ,tablespoon
6,['½'],herbes de provence,,pasta salad ,teaspoon
7,['1'],dry basil,OR ¼ cup chopped basil,pasta salad ,teaspoon
8,['½'],dry oregano,,pasta salad ,teaspoon
9,['½ or 1'],garlic chives,(hara lahsun),pasta salad ,tablespoon
10,['9 to 10'],"pitted black olives,",sliced,pasta salad ,
11,['½'],balsamic vinegar,(optional),pasta salad ,teaspoon
12,,salt as required,,pasta salad ,
13,,black pepper powder as required,(kali mirch powder),pasta salad ,
0,['2'],medium sized sweet potatoes,(shakarkandi),sweet potato chutney ,
1,['4'],split black gram,(urad dal),sweet potato chutney ,tablespoon
2,['4 to 6'],mild dry red chilies,(kashmiri lal mirch),sweet potato chutney ,
3,['¼'],methi dana,(fenugreek seeds),sweet potato chutney ,teaspoon
4,['2'],whole peppercorns,(sabut kali mirch),sweet potato chutney ,
