,calories,carbs,cook_time,course,cuisine,description,labels,name,photos,prep_time,protein,rating,saturated_fat,servings,sugar,total_fat,total_time,url
0,,,,,,,,,,,,,,,,,,
0,,,25,breakfasts,"northindian,Punjabi",", how to make gobi paratha | punjabi gobi paratha"," Kids Recipes, No Onion No Garlic, North Indian Recipes, Punjabi Recipes, Popular Indian Recipes, Indian Breakfast Recipes,Indian Breads & Parathas",gobi paratha ,True,25,,['4.5'],,12parathas,,,50,http://www.vegrecipesofindia.com/gobi-paratha-punjabi-gobi-paratha/
0,,,40,main,"karnataka,southindian",", how to make veg saagu recipe | mix veg sagu recipe","Indian Curries, Popular Indian Recipes, Vegan Recipes, Karnataka Recipes, South Indian Recipes",veg sagu ,True,15,,['4.34'],,3to4,,,55,http://www.vegrecipesofindia.com/veg-sagu-recipe-veg-saagu/
0,,,15,side,Italian,", how to make easy pasta salad recipe | salad recipes"," Tiffin Recipes,30 Minutes Recipes, Starters & Snacks Recipes, Vegan Recipes,International Cuisines,Bachelor Recipes",pasta salad ,False,5,,[''],,3to4,,,20,http://www.vegrecipesofindia.com/pasta-salad/
0,,,,side,southindian,", south indian sweet potato chutney"," No Onion No Garlic,30 Minutes Recipes, Vegan Recipes,Chutneys,Bachelor Recipes, South Indian Recipes",sweet potato chutney ,False,,,['4.5'],,4to6,,,,http://www.vegrecipesofindia.com/sweet-potato-chutney-recipe/
0,,,15,sweets,"karnataka,southindian",", karnataka style rava kesari bhath recipe"," Karnataka Recipes, Kids Recipes,30 Minutes Recipes, Tiffin Recipes, Festival Recipes,Desserts, Popular Indian Recipes,Bachelor Recipes, South Indian Recipes",kesari bhath ,True,5,,['5'],,1to2,,,20,http://www.vegrecipesofindia.com/kesari-bhath-recipe/
0,,,25,sweets,northindian,", how to make besan burfi recipe | barfi recipes"," Kids Recipes,Festival Recipes,30 Minutes Recipes, North Indian Recipes,Gluten Free, Festival Recipes,Desserts",besan barfi ,False,5,,['3'],,1mediumbox,,,30,http://www.vegrecipesofindia.com/besan-barfi-recipe/
0,,,,Beverages,world,", how to make mango iced tea recipe"," Summer Recipes,Beverages, Navratri & Fasting Recipes,15 Minutes Recipes,Bachelor Recipes, International Cuisines",mango iced tea ,False,15,,['5'],,3glasses,,,15,http://www.vegrecipesofindia.com/mango-iced-tea/
0,,,25,"main,side",northindian,", how to make baby corn jalfrezi recipe"," Main Course, North Indian Recipes, Vegan Recipes,Indian Vegetable Recipes",baby corn jalfrezi ,True,5,,['5'],,3to4,,,30,http://www.vegrecipesofindia.com/baby-corn-jalfrezi/
0,,,20,main,northindian, - how to make punjabi dahi wali arbi recipe,"Indian Curries, Main Course,Bachelor Recipes, Punjabi Recipes, Indian Vegetable Recipes",dahi wali arbi ,False,20,,['5'],,4,,,40,http://www.vegrecipesofindia.com/dahi-wali-arbi/
0,613,88,20,MainCourse,southindian,", how to make ghee rice recipe | rice recipes","Kids Recipes, Main Course,Gluten Free, Popular Indian Recipes, Rice Recipes,Bachelor Recipes,Rice Recipes, South Indian Recipes",ghee rice ,True,30,9,['5'],13,2,6,25,50,http://www.vegrecipesofindia.com/ghee-rice-recipe-rice-recipes/
0,228,35,20,"indianstreetfood,MumbaiStreetfood","Indian,Maharashtrian", | how to make delicious mumbai style pav bhaji recipe," Kids Recipes, Main Course, Starters & Snacks Recipes,Indian Vegetable Recipes, Popular Indian Recipes,Bachelor Recipes",pav bhaji ,True,20,7,['4.58'],4,5,8,7,40,http://www.vegrecipesofindia.com/pav-bhaji-recipe-mumbai-pav-bhaji-a-fastfood-recipe-from-mumbai/
0,,,,Beverages,Indian, with sabja seeds recipe | rooh afza sherbet recipe," Summer Recipes,Beverages, Vegan Recipes",rooh afza ,False,30,,['5'],,3,,,30,http://www.vegrecipesofindia.com/rooh-afza-with-sabza-seeds/
0,,,15,main,northindian,", how to make spicy veg pulao recipe","30 Minutes Recipes, North Indian Recipes, Vegan Recipes, Popular Indian Recipes, Rice Recipes,Main Course,Bachelor Recipes",spicy vegetable pulao ,False,30,,['4.5'],,4,,,45,http://www.vegrecipesofindia.com/mix-veg-pulao-recipe-veg-pulao/
0,544,86,20,sweets,southindian,", how to make fruit kesari recipe | halwa recipes"," Kids Recipes,30 Minutes Recipes, North Indian Recipes, Tiffin Recipes, Festival Recipes,Desserts, Popular Indian Recipes, Tamil Nadu, South Indian Recipes,Bachelor Recipes, Indian Breakfast Recipes",fruit kesari ,True,5,5,['4.5'],12,3to4,55,21,25,http://www.vegrecipesofindia.com/fruit-kesari-recipe/
0,,,15,breakfasts,"southindian,tamilnadu", with sugar |  kalkandu pongal | chakkara pongal recipe," Kids Recipes,30 Minutes Recipes,Gluten Free, Festival Recipes,Desserts, Rice Recipes, South Indian Recipes,Bachelor Recipes,Indian Breakfast Recipes, Indian Breakfast Recipes",sweet pongal ,True,5,,['5'],,4,,,20,http://www.vegrecipesofindia.com/sweet-pongal-recipe-with-sugar/
0,,,20,"appetiser,side",southindian,", how to make pineapple rasam recipe"," Starters & Snacks Recipes, Vegan Recipes, Tamil Nadu,Main Course,Bachelor Recipes, South Indian Recipes",pineapple rasam ,True,25,,['4.5'],,4to5,,,45,http://www.vegrecipesofindia.com/pineapple-rasam-recipe-how-to-make-pineapple-rasam-recipe/
